Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47nF,C_0603_1608Metric,183,-117.175,-90,top
C2,100nF,C_0603_1608Metric,179,-117.15,-90,top
C3,10nF,C_0603_1608Metric,169.775,-106.25,0,top
C4,47nF,C_0603_1608Metric,179,-84.225,90,top
C5,100nF,C_0603_1608Metric,183,-84.2,90,top
C6,10nF,C_0603_1608Metric,169.775,-101.25,0,top
C7,47nF,C_0603_1608Metric,174.8,-84.25,90,top
C8,100nF,C_0603_1608Metric,170.8,-84.225,90,top
C9,10nF,C_0603_1608Metric,169.75,-95.75,0,top
C10,47nF,C_0603_1608Metric,170.8,-117.175,-90,top
C11,100nF,C_0603_1608Metric,174.8,-117.175,-90,top
C12,10nF,C_0603_1608Metric,169.75,-111.25,0,top
C15,100nF,C_0603_1608Metric,180.1,-100.2,0,top
C17,10uF,C_1206_3216Metric,182,-98.3,0,top
C21,100nF,C_0603_1608Metric,179.3,-113.8,-90,top
R1,220R,R_0603_1608Metric,179,-120.175,-90,top
R2,220R,R_0603_1608Metric,183,-120.175,90,top
R3,4.7K,R_0603_1608Metric,181,-120.175,-90,top
R4,4.7K,R_0603_1608Metric,181,-117.175,-90,top
R5,68R,R_0603_1608Metric,169.75,-104.75,0,top
R6,220R,R_0603_1608Metric,183,-81.225,90,top
R7,220R,R_0603_1608Metric,179,-81.225,-90,top
R8,4.7K,R_0603_1608Metric,181,-81.225,90,top
R9,4.7K,R_0603_1608Metric,181,-84.225,90,top
R10,68R,R_0603_1608Metric,169.75,-99.75,0,top
R11,220R,R_0603_1608Metric,170.8,-81.225,90,top
R12,220R,R_0603_1608Metric,174.8,-81.25,-90,top
R13,4.7K,R_0603_1608Metric,172.8,-81.25,90,top
R14,4.7K,R_0603_1608Metric,172.8,-84.25,90,top
R15,68R,R_0603_1608Metric,169.75,-97.25,0,top
R16,220R,R_0603_1608Metric,174.8,-120.2,-90,top
R17,220R,R_0603_1608Metric,170.8,-120.175,90,top
R18,4.7K',R_0603_1608Metric,172.8,-120.2,-90,top
R19,4.7K,R_0603_1608Metric,172.8,-117.2,-90,top
R20,68R,R_0603_1608Metric,169.75,-109.75,0,top
U2,MCP6004,SOIC-14_3.9x8.7mm_P1.27mm,177.66,-93.225,90,top
U4,LDL1117S33R,SOT-223-3_TabPin2,177.9,-105.35,90,top
